ISIN,coupon,Issue,Mature,1/2/2020,1/3/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/13/2020,1/14/2020,1/15/2020
CA135087D929,0.01500 ,10/14/2014,3/1/2020,99.85,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86
CA135087E596,0.00750 ,4/13/2015,9/1/2020,99.26,99.28,99.28,99.27,99.28,99.28,99.28,99.27,99.28,99.3
CA135087F254,0.00750 ,10/19/2015,3/1/2021,98.89,98.93,98.95,98.94,98.92,98.92,98.88,98.9,98.9,98.93
CA135087F585,0.00750 ,4/11/2016,9/1/2021,98.41,98.45,98.49,98.46,98.46,98.43,98.43,98.38,98.41,98.42
CA135087G328,0.00500 ,10/11/2016,3/1/2022,97.57,97.63,97.66,97.65,97.64,97.6,97.61,97.57,97.58,97.61
CA135087UM44,0.09250 ,12/15/1991,6/1/2022,117.73,117.79,117.82,117.77,117.74,117.63,117.56,117.52,117.51,117.54
CA135087H490,0.01750 ,10/6/2017,3/1/2023,100.31,100.42,100.48,100.45,100.44,100.35,100.31,100.27,100.31,100.38
CA135087UT96,0.08000 ,8/17/1992,6/1/2023,120.79,120.91,120.96,120.91,120.91,120.73,120.67,120.63,120.64,120.72
CA135087J546,0.02250 ,10/5/2018,3/1/2024,102.52,102.65,102.75,102.58,102.68,102.53,102.47,102.46,102.54,102.64
CA135087J967,0.01500 ,4/5/2019,9/1/2024,98.72,98.95,99.29,99.11,99.25,98.99,99.03,99.06,98.99,99.1
